metric_id,metric_name,metric_slug,business_domain,metric_type,formula,formula_language,unit,granularity,source_tables,source_columns,upstream_metrics,governance_source,governance_reference,valid_range_min,valid_range_max,null_handling,edge_cases,certification_level,certified_at,certified_by,last_validated_at,validation_method,validation_evidence,confidence_score,review_cadence,owner_team,owner_contact,deprecated,deprecated_reason,superseded_by,notes
M-REV-005,PKB Terealisasi,pkb_terealisasi,revenue,currency,SUM(pokok_pkb) FROM gold.transaksi_fact WHERE tahun_pajak = reference_year,sql,IDR,keseluruhan,{gold.transaksi_fact},"{pokok_pkb,tahun_pajak}",{},raw_source,Pending data ingest,0,1000000000000,exclude_nulls,"{""transaksi_fact belum populate""}",bronze,2026-05-05,Pilot Lead,,not_validated,L4-DATA-005,0.40,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Akan naik GOLD ketika data ingested.
M-REV-006,Tingkat Realisasi Penagihan,tingkat_realisasi_penagihan,revenue,percentage,100.0 * pkb_terealisasi / total_potensi_pkb,sql,%,per_kampanye,"{gold.transaksi_fact,gold_plus.campaign_log}","{pokok_pkb,est_pkb_per_kendaraan}","{M-REV-001,M-REV-005}",derived_runtime,Pilot deliverable,0,100,exclude_nulls,"{""hanya post-campaign""}",bronze,2026-05-05,Pilot Lead,,not_validated,Pending campaign,0.30,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Critical pilot success metric.
M-SWD-001,Total SWDKLLJ Terealisasi,total_swdkllj_terealisasi,swdkllj,currency,SUM(pokok_swd) FROM gold.transaksi_fact WHERE tahun_pajak = reference_year,sql,IDR,keseluruhan,{gold.transaksi_fact},"{pokok_swd,tahun_pajak}",{},raw_source,Pending data ingest,0,100000000000,exclude_nulls,{},bronze,2026-05-05,Pilot Lead,,not_validated,L4-DATA-005,0.40,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Wajib regulasi (L4-REGULASI-002).
M-SWD-002,Kontribusi SWDKLLJ terhadap PKB,kontribusi_swdkllj_terhadap_pkb,swdkllj,percentage,100.0 * SUM(pokok_swd) / NULLIF(SUM(pokok_pkb) 0),sql,%,keseluruhan,{gold.transaksi_fact},"{pokok_swd,pokok_pkb}","{M-SWD-001,M-REV-005}",derived_runtime,Benchmark nasional 15-25%,5,50,return_null_if_div_zero,"{""null bila pokok_pkb=0""}",bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.40,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-SWD-003,Total Denda SWDKLLJ,total_denda_swdkllj,swdkllj,currency,SUM(denda_swd) FROM gold.transaksi_fact,sql,IDR,keseluruhan,{gold.transaksi_fact},{denda_swd},{},raw_source,Pending,0,50000000000,exclude_nulls,{},bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.40,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-TREAT-001,Cakupan Nomor Telepon,cakupan_nomor_telepon,treatment,percentage,100.0 * SUM(CASE WHEN has_phone THEN 1 ELSE 0 END) / COUNT(*),sql,%,per_segmen,{gold.registry_enriched},{has_phone},{},derived_runtime,Match within 1% vs Sheet 2,0,100,treat_as_zero,"{""termasuk nomor invalid""}",silver,2026-05-05,Pilot Lead,2026-05-05,distribution_check_vs_framework,L4-METRIC-004,0.85,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,WA delivery aktual 70-80% dari has_phone.
M-TREAT-002,Kelayakan Kanal Komunikasi,kelayakan_kanal_komunikasi,treatment,percentage,100.0 * COUNT(*) WHERE kanal_utama_actual = kanal_utama / COUNT(*),sql,%,per_segmen,{gold.registry_enriched},"{kanal_utama,kanal_utama_actual}",{M-TREAT-001},derived_runtime,Cross-check kanal vs phone,0,100,treat_as_zero,{},silver,2026-05-05,Pilot Lead,2026-05-05,manual_spot_check,Sample verified,0.80,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-TREAT-003,Target Prioritas Quick Win,target_prioritas_quick_win,treatment,count,COUNT(*) WHERE segmen_kepatuhan IN ('K1' 'O1') AND has_phone = TRUE AND est_pkb_per_kendaraan > median_pkb,sql,kendaraan,keseluruhan,{gold.registry_enriched},"{segmen_kepatuhan,has_phone,est_pkb_per_kendaraan}",{},derived_runtime,KPI utama pilot,0,50000,exclude_nulls,{},gold,2026-05-05,Pilot Lead,2026-05-05,manual_spot_check,Direct campaign targeting,0.90,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,ROI tertinggi untuk gelombang pertama.
M-DEMO-001,Proporsi Sepeda Motor,proporsi_sepeda_motor,demographic,percentage,100.0 * COUNT(*) FILTER (WHERE dim_jenken.kategori = 'R2') / COUNT(*),sql,%,keseluruhan,"{gold.registry_enriched,ref.dim_jenken}","{kode_jenken,kategori}",{},derived_runtime,Indonesia transport ~85% motor,50,95,treat_as_zero,"{""5 unmapped kode_jenken""}",silver,2026-05-05,Pilot Lead,2026-05-05,plausibility_check,L4-DATA-001,0.85,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-DEMO-002,Rata-rata Usia Kendaraan,rata_rata_usia_kendaraan,demographic,duration,AVG(usia_kendaraan),sql,tahun,per_segmen,{gold.registry_enriched},{usia_kendaraan},{},derived_runtime,Plausibility,0,30,exclude_nulls,"{""usia negatif → NULL""}",silver,2026-05-05,Pilot Lead,2026-05-05,plausibility_check,Pass,0.85,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-DEMO-003,Rata-rata Usia Pemilik,rata_rata_usia_pemilik,demographic,duration,AVG(usia_pemilik_estimated),sql,tahun,per_segmen,{gold.transaksi_fact},"{tgl_lahir,reference_date}",{},derived_runtime,Pending tgl_lahir,17,80,exclude_nulls,{},bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.50,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,PII-derived; aggregate only.
M-DEMO-004,Indeks Konsentrasi Wilayah,indeks_konsentrasi_wilayah,demographic,ratio,SUM((wilayah_share)^2),sql,indeks,keseluruhan,"{gold.registry_enriched,ref.dim_wilayah}",{wilayah},{},derived_runtime,HHI standard,0.0001,1,exclude_nulls,{},silver,2026-05-05,Pilot Lead,2026-05-05,plausibility_check,Pass,0.75,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Untuk prioritisasi field deployment.
M-OPS-001,Jumlah Outreach Kampanye,jumlah_outreach_kampanye,operational,count,COUNT(*) FROM gold_plus.campaign_log WHERE attempted = TRUE,sql,outreach,per_kampanye,{gold_plus.campaign_log},{},{},derived_runtime,Pending execution layer,0,500000,exclude_nulls,{},bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.00,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Operasional post-pilot.
M-OPS-002,Biaya per Rupiah Tertagih,biaya_per_rupiah_tertagih,operational,currency,total_biaya_kampanye / pkb_terealisasi,sql,IDR_per_IDR,per_kampanye,"{gold_plus.campaign_log,gold.transaksi_fact}",{},"{M-OPS-001,M-REV-005}",derived_runtime,Target <Rp 0.05 per Rp 1,0.0001,0.5,return_null_if_div_zero,{},bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.00,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Cost ratio target 5%.
M-OPS-003,Lama Penyelesaian Kasus,lama_penyelesaian_kasus,operational,duration,AVG(date_resolved - date_first_outreach),sql,hari,per_segmen,{gold_plus.campaign_log},{},{},derived_runtime,Pending,1,180,exclude_nulls,{},bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.00,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
